"2 Chainz And Drake-","No Lie (Clean)"
"Beltran, Lola","Aquel Amor"
"Beltran, Lola","Ay! Jalisco No Te Rajes"
"Beltran, Lola","Bala Perdida"
"Beltran, Lola","Cancion Mixteca"
"Beltran, Lola","Carino Nuevo"
"Beltran, Lola","Cuando El Destino"
"Beltran, Lola","El Aguacero"
"Beltran, Lola","El Caballo Blanco"
"Beltran, Lola","El Herradero"
"Beltran, Lola","Gabino Barrera"
"Beltran, Lola","Golondrina Presumida"
"Beltran, Lola","Gorrioncillo Pecho Amarillo"
"Beltran, Lola","La Cama De Piedra"
"Beltran, Lola","La Casita"
"Beltran, Lola","La Noche De Mi Mal"
"Beltran, Lola","La Noche Y Tu"
"Beltran, Lola","La Panchita"
"Beltran, Lola","La Rielera"
"Beltran, Lola","Las Rejas No Matan"
"Beltran, Lola","Mi Ciudad"
"Beltran, Lola","Mi Ranchito"
"Beltran, Lola","Paloma Negra"
"Beltran, Lola","Paloma Negra"
"Beltran, Lola","Por Un Beso"
"Beltran, Lola","Que Bonita Es Mi Tierra"
"Beltran, Lola","Que Te Vaya Bonito"
"Beltran, Lola & Beatriz Adriana","Huapango Torero"
"Benjamin","Cuando tu amor late"
"Benjamin","No Soy El Aire"
"Benny  Ibarra","Siento"
"Benny  Ibarra","Siento"
"Benny Ibarra","Llueve Luz"
"Bermudas","No Voy A Trabaja"
"Bermudez, Obie","043000 A.m."
"Bermudez, Obie","Antes"
"Bermudez, Obie","Me Canse De Ti (salsa)"
"Beto Cuevas","Vuelvo"
"Beto Quintanilla","El ultimo contrabando"
"Beto Quintanilla","Las aguilas andan solas"
"Beto Zapata","Dejame amarte mas"
"Beto Zapata","Dejame amarte mas"
"Beware of Darkness","Howl"
"Beware of Darkness","Howl (MPX)"
"Beyonce","Run The World (Girls)"
"Beyonce & Alejandro Fernandez","Amor Gitano"
"Beyonce & Shakira","Beautiful Liar"
"Big K. R. I. T.","Cool 2 Be Southern"
"Big K. R. I. T.","Cool 2 Be Southern (MPX)"
"Big K. R. I. T.","My Sub, Pt. 2  The Jackin'"
"Big K. R. I. T.","My Sub, Pt. 2  The Jackin' (MPX)"
"Big K.R.I.T.","Live From The Underground"
"Big K.R.I.T.","Live From The Underground (MPX)"
"Big K.R.I.T.","Rich Dad, Poor Dad"
"Big K.R.I.T.","Rich Dad, Poor Dad (MPX)"
"Big K.R.I.T. feat. Melanie Fiona","If I Fall"
"Big K.R.I.T. feat. Melanie Fiona","If I Fall (MPX)"
"Binomio De Oro, El","Me Ilusione"
"Binomio De Oro, El","Olvidala"
"Binomio De Oro, El","Olvidala (-1)"
"Binomio De Oro, El","Que Pena"
"Bisbal, David","Ave Maria"
"Bisbal, David","Buleria"
"Bisbal, David","Camina Y Ven"
"Bisbal, David","Digale"
"Bisbal, David","Quien Me Iba A Decir"
"Bisbal, David","Silencio"
"Bisbal, David","Torre De Babel"
"Black Eyed Peas, The","The time"
"Black Eyed Peas, The","The time"
"Blades, Ruben","Buscando Guayaba (salsa)"
"Blush","All Stars"
"Blush","All Stars (MPX)"
"BNK","Perdoname"
"Bobby Pulido","Algun Dia"
"Bobby Pulido","Algun Dia"
"Bobby Pulido","Desvelado"
"Bobby Pulido","Desvelado"
"Bobby Pulido","Quisiera"
"Bobby Pulido","Quisiera"
"Bocelli, Andrea","Por Ti Volare"
"Bocelli, Andrea & Marta Sanchez","Vivo Por Ella"
"Bone Thugs N Harmony","1st Of Tha Month"
"Bone Thugs N Harmony","1st Of Tha Month"
"Bone Thugs N Harmony","Foe Tha Love Of"
"Bone Thugs N Harmony","Look Into My Eyes"
"Bone Thugs N Harmony","Tha Crossroads"
"Bone Thugs N Harmony","Thuggish Ruggish Bone"
"Bone Thugs N Harmony feat. Ako","If I Could Teach The World"
"Bonnie Raitt","Marriage Made In Hollywood"
"Bonnie Raitt","Marriage Made In Hollywood (MPX)"
"Bonnie Raitt","Right Down The Line"
"Bonnie Raitt","Right Down The Line (MPX)"
"Boscan, Emir Y Los Tomasinos","Carmenza"
"Boscan, Emir Y Los Tomasinos","Tanny"
"Bose, Miguel","Amante Bandido"
"Bose, Miguel","Amiga"
"Bose, Miguel","Deja Que"
"Bose, Miguel","Don Diablo"
"Bose, Miguel","La Chula"
"Bose, Miguel","Linda"
"Bose, Miguel","Linda"
"Bose, Miguel","Los Chicos No Lloran"
"Bose, Miguel","Manos Vacias"
"Bose, Miguel","Morir De Amor"
"Bose, Miguel","Salamandra"
"Bose, Miguel","Te Amare"
"Bose, Miguel","Te Dire"
"Bose, Miguel & Julieta Venegas","Morena Mia"
"Bose, Miguel & Paulina Rubio","Nena"
"Bow Wow feat. T-Pain","Better"
"Bow Wow feat. T-Pain","Better (MPX)"
"Boyz II Men","One More Dance"
"Boyz II Men","One More Dance (MPX)"
"Boyz II Men","Slowly"
"Boyz II Men","Slowly (MPX)"
"Brandy","Wildest Dreams"
"Brandy","Wildest Dreams (MPX)"
"Braseros Musical","Anoche Sone Contigo"
"Braseros Musical","Lagrimas Y Lluvia"
"Bravery","Believe"
"Bravery","Unconditional"
"Braxton, Tamar & One Nation Crew","Try Me"
"Brazeros Musical","Las Isabeles"
"Brian Culbertson feat Noel Gourdin","You're My Music"
"Brian Culbertson feat Noel Gourdin","You're My Music (MPX)"
"Brian Culbertson Feat. Vivian Green","Still Here"
"Brian Culbertson Feat. Vivian Green","Still Here (MPX)"
"Brian Mcknight","4th Of July"
"Brian Mcknight","4th Of July (MPX)"
"Brios","Tengo Miedo"
"Brios, Los","Yo se que te acordaras"
"Bronco","Amigo bronco"
"Bronco","Amigo Bronco"
"Bronco","Con Dinero"
"Bronco","Con Zapatos De Tacón"
"Bronco","Corazón Bandido"
"Bronco","Dos Mujeres, Un Camino"
"Bronco","Libros Tontos"
"Bronco","No Es Tan Fácil Perdonar"
"Bronco","Nunca Voy A Olvidarte"
"Bronco","Oro"
"Bronco","Que Te Han Visto Llorar"
"Bronco","Que Te Han Visto Llorar"
"Bronco","Sed"
"Bronco","Sergio el baillador"
"Bronco","Un Golpe Más"
"Bronco","Una Noche Más"
"Bronco","Una Rosa, Una Espina"
"Bronco","Viveme"
"Broncos de Reynosa","El sube y baja"
"Broncos de Reynosa","Paso del norte"
"Broncos de Reynosa","Te traigo en mi cartera"
"Bruno Mars","Gorilla"
"Bryndis","Amor prohibido"
"Bryndis","Amor Prohibido"
"Bryndis","La Ultima Cancion"
"Bryndis","Marchate"
"Bryndis","Otro Ocupa Mi Lugar"
"Bryndis","Pero Tu No Estas"
"Bryndis","Quizas Si, Quizas No"
"Bryndis","Te Esperare"
"Bryndis","Vas A Sufrir"
"Bubulin","Papo El Zapato"
"Buggles","Video Killed The Radio Star"
"Buitres","Me gusta, me gusta"
"Buitres","No tengas miedo"
"Bukis","Fijate, Fijate"
"Bukis","Morenita"
"Bukis","Si Ya No Te Vuelvo A Ver"
"Bukis","Viva El Amor"
"Bukis, Los","A Donde Vayas"
"Bukis, Los","Chiquilla Bonita"
"Bukis, Los","Como Me Hacas Falta"
"Bukis, Los","El Celoso"
"Bukis, Los","Este Adios"
"Bukis, Los","Falso Amor"
"Bukis, Los","Mi Fantasia"
"Bukis, Los","Necesita De Ti"
"Bukis, Los","Necesito Una Companera"
"Bukis, Los","Presiento Que Voy A Llorar"
"Bukis, Los","Si Me Recuerdas"
"Bukis, Los","Te Tuve Y Te Perdi"
"Bukis, Los","Triste Imaginar"
"Bukis, Los","Tu Carcel"
"Bukis, Los","Tus Mentiras"
"Bukis, Los","Una Noche Como Esta"
"Bukis, Los","Y Ahora Te Vas"
"Bukis, Los","Ya No Te Vayas"
"Bukis, Los","Yo Te Necesito"
"Buknas","100 botellas de bucanas"
"Buknas","100 botellas de bucanas"
"Buknas","Carteles Unidos"
"Buknas","Carteles Unidos"
"Buknas","chapon cuerno cachucha"
"Buknas","chapon cuerno cachucha"
"Buknas","El 75"
"Buknas","El 75"
"Buknas","El mayo"
"Buknas","El mayo"
"Buknas","El mensaje"
"Buknas","El mensaje"
"Buknas","el mini 6"
"Buknas","el mini 6"
"Buknas","la desvelada"
"Buknas","la desvelada"
"Buknas","la sombra de la muerte"
"Buknas","la sombra de la muerte"
"Buknas","los chochos"
"Buknas","los chochos"
"Buknas","mentalidad enferma"
"Buknas","mentalidad enferma"
"Bush","Baby Come Home"
"Bush","Baby Come Home (MPX)"
"C3Q's","No Me Importa"
"Caballo Dorado","No Rompas Mas"
"Caballo Viejo","Gilberto Santa Rosa"
"Cabas","Mi Bombon"
"Cachorros De Juan Villarreal, Los","Dados Cargados"
"Cachorros De Juan Villarreal, Los","El Regalo Caro"
"Cadetes de Linares","Arturo Garza Treviño"
"Cadetes De Linares","Cosas Del Ayer"
"Cadetes De Linares","Cruz Negra"
"Cadetes De Linares","Cruzando El Puente"
"Cadetes De Linares","Descansa General"
"Cadetes De Linares","Desprecio"
"Cadetes De Linares","Desprecio"
"Cadetes De Linares","Donde Estara Mi Caballo"
"Cadetes De Linares","Dos Coronas A Mi Madre"
"Cadetes De Linares","El Asesino"
"Cadetes De Linares","El Bayo Cara Blanca"
"Cadetes De Linares","El Caballo Jovero"
"Cadetes De Linares","El Cachas De Oro"
"Cadetes De Linares","El Cerillazo"
"Cadetes De Linares","El Palomito"
"Cadetes De Linares","El Palomito"
"Cadetes De Linares","El Pata De Palo"
"Cadetes De Linares","El Rogon"
"Cadetes De Linares","Estoy Pagado"
"Cadetes De Linares","Estoy Pagando"
"Cadetes De Linares","Generoso Y Carmelita"
"Cadetes De Linares","Hermanos Boca Negra"
"Cadetes De Linares","Hijo Malvado"
"Cadetes de Linares","La tragedia de rosita"
"Cadetes De Linares","La Venganza De María"
"Cadetes de Linares","Lamberto Quintero"
"Cadetes De Linares","Las Tres Tumbas"
"Cadetes De Linares","Los Contrabandistas"
"Cadetes de Linares","Los dos Amigos"
"Cadetes De Linares","Los Dos Amigos"
"Cadetes De Linares","Los Dos Amigos"
"Cadetes De Linares","Mandato Divino"
"Cadetes De Linares","Mi Amigo"
"Cadetes De Linares","Mi Primer Amor"
"Cadetes De Linares","Mi Unico Camino"
"Cadetes De Linares","No Hay Novedad"
"Cadetes De Linares","No Hay Novedad"
"Cadetes De Linares","Polvo maldito"
"Cadetes De Linares","Polvo Maldito"
"Cadetes De Linares","Por Ser Tan Pobre"
"Cadetes De Linares","Pueblito"
"Cadetes De Linares","Regalo De Reyes"
"Cadetes De Linares","Silvano García"
"Cadetes de Linares","Tu vida no me importa"
"Cadetes De Linares","Tu Vida No Me Importa"
"Cadetes De Linares","Un Viejo Amor"
"Cadetes De Linares","Una Lagrima Y Un Recuerdo"
"Cadetes De Linares","Una Pagina Mas"
"Cadetes De Linares","Ven A Buscarme"
"Cadetes De Linares","Y Mas Te Estoy Queriendo"
"Cadetes De Linares, Los","Arturo Garza Trevino"
"Cadetes De Linares, Los","Cazador de asesinos"
"Cadetes De Linares, Los","Dimas De Leon"
"Cadetes De Linares, Los","Eleazar Del Fierro"
"Cadetes De Linares, Los","Era Cuatro De A Caballo"
"Cadetes De Linares, Los","Hierba polvo y plomo"
"Cadetes De Linares, Los","Juanita y Miguel"
"Cadetes De Linares, Los","La Tragedia De Rosita"
"Cadetes De Linares, Los","Lamberto Quintero"
"Cadetes De Linares, Los","Las Tres Tumbas"
"Cadetes De Linares, Los","Los Dos Amigos"
"Cadetes De Linares, Los","Pistoleros Famosos"
"Caifanes","La Celula Que Explota"
"Cake","Perhaps, Perhaps, Perhaps"
"Calderon, Tego","Guasa Guasa"
"Calderon, Tego","Punto Y Aparte"
"Calibre 50","El buen ejemplo"
"Calibre 50","Te estoy enganando con otra"
"Calibre 50 a dueto con Banda Carnaval","Gente batallosa"
"Calle 13","Atrevete Te Te"
"Camargo, Tony","Bonito Y Sabroso"
"Camargo, Tony","La Bandolera"
"Camila","Abrazame"
"Camila","Alejate de Mi"
"Camila","Besame"
"Camila","Besame"
"Camila","De que me sirve la vida"
"Camila","Nada"
"Camila","Solo Para Ti"
"Camila","Todo cambió"
"Camilo Sesto","Amor no me ignores"
"Camilo Sesto","Atrapado"
"Camilo Sesto","Devuelveme mi libertad"
"Camilo Sesto","Hablame"
"Camilo Sesto","Hablame [-1]"
"Camilo Sesto","Has nacido libre"
"Camilo Sesto","Has nacido libre [-1]"
"Camilo Sesto","Me lo estas poniendo dificil"
"Camilo Sesto","Me lo estas poniendo dificil [-1]"
"Camilo Sesto","Mi buen amor"
"Camilo Sesto","Mi buen amor [-1]"
"Camilo Sesto","Nunca mas"
"Camilo Sesto","Nunca mas [-1]"
"Camilo Sesto","Piel de angel"
"Camilo Sesto","Piel de angel [-1]"
"Camilo Sesto","Que mas te da"
"Camilo Sesto","Todo por nada"
"Camilo Sesto","Todo por nada [-1]"
"Camilo Sesto","Vivir asi es morir de amor"
"Camilo Sesto","Vivir asi es morir de amor [-1]"
"Caminantes","Solo los tontos"
"Caminantes, Los","Amame Tiernamente"
"Caminantes, Los","Amigo Cantinero"
"Caminantes, Los","Amor Que Nace"
"Caminantes, Los","Amor Sin Palabras"
"Caminantes, Los","Angel De La Manana"
"Caminantes, Los","Cuando Dos Almas"
"Caminantes, Los","Dime Si Me Quieres"
"Caminantes, Los","Dos Cartas Y Una Flor"
"Caminantes, Los","Ella"
"Caminantes, Los","Entre Mas Lejos Me Vaya"
"Caminantes, Los","He Sabido"
"Caminantes, Los","Las Gaviotas"
"Caminantes, Los","Me Esta Doliendo Tu Ausencia"
"Caminantes, Los","Mi Nina"
"Caminantes, Los","Olvidate De Todo"
"Caminantes, Los","Para Que Quieres Volver"
"Caminantes, Los","Por Un Juramento"
"Caminantes, Los","Porque Tengo Tu Amor"
"Caminantes, Los","Sin Un Adios"
"Caminantes, Los","Solo Los Tontos"
"Caminantes, Los","Supe Perder"
"Caminantes, Los","Supe Perder"
"Caminantes, Los","Te Diste Cuenta"
"Caminantes, Los","Todo Me Gusta De Ti"
"Caminantes, Los","Ven Y Abrazame"
"Caminantes, Los","Vuela Paloma"
"Camryn","Now Or Never"
"Camryn","Now Or Never (MPX)"
"Canelos de Durango","Chuy y Mauricio"
"Cantantes","El Venado"
"Canto Del Loco Y Amaia Montero, El","Puede Ser"
"Cardenales de Nuevo Le¢n, Los","QuÇ ganas"
"Cardenales De Nuevo Leon","Compre Un Cantina"
"Cardenales de Nuevo Leon","Compre una cantina"
"Cardenales De Nuevo Leon","Comprendela"
"Cardenales De Nuevo Leon","Espejo De Cantina"
"Cardenales de Nuevo Leon","Me llevas en tu corazon"
"Cardenales de Nuevo Leon","Mi complice"
"Cardenales De Nuevo Leon","Mi Complice"
"Cardenales De Nuevo Leon","Ni Los Pleitos"
"Cardenales De Nuevo Leon","Por Las Damas"
"Cardenales de Nuevo Leon","Que ganas"
"Cardenales De Nuevo Leon","Que No Daria"
"Cardenales de Nuevo Leon","Si yo fuera el"
"Cardenales De Nuevo Leon","Si Yo Fuera Ti"
"Cardenales De Nuevo Leon","Soy Lo Peor"
"Cardenales De Nuevo Leon","Y Que Mas Da"
"Cardenales De Nuevo Leon, Los","Compre una cantina"
"Cardenales de Nuevo Leon, Los","De norte a sur"
"Cardenales de Nuevo Leon, Los","De norte a sur"
"Cardenales De Nuevo Leon, Los","Dos amores"
"Cardenales De Nuevo Leon, Los","El primer tonto"
"Cardenales De Nuevo Leon, Los","El primer tonto - con segunda"
"Cardenales De Nuevo Leon, Los","Espejo de cantina"
"Cardenales De Nuevo Leon, Los","La baraja"
"Cardenales de Nuevo Leon, Los","Me llevas en tu corazon"
"Cardenales de Nuevo Leon, Los","Me llevas en tu corazon"
"Cardenales De Nuevo Leon, Los","Para olvidarme de ti"
"Cardenales De Nuevo Leon, Los","Que daria yo"
"Cardenales de Nuevo Leon, Los","Que ganas"
"Cardenales de Nuevo Leon, Los","Que ganas"
"Cardenales De Nuevo Leon, Los","Que lastima"
"Cardenales De Nuevo Leon, Los","Que lindo es ser rico"
"Cardenales De Nuevo Leon, Los","Soy lo peor"
"Cardenales De Nuevo Leon, Los","Vestido blanco"
"Cardenales De Nuevo Leon, Los","Y que mas da"
"Carlos & Jose","Las Tres Mujeres"
"Carlos & Jose","Noches Eternas"
"Carlos Baute & Marta Sanchez","Colgando en tus manos"
"carlos Cuevas","Unbolero"
"Carlos Y Jose","Amante Apasionado"
"Carlos y Jose","Amores fingidos"
"Carlos Y Jose","Amores Fingidos"
"Carlos y Jose","El chubasco"
"Carlos Y Jose","El Chubasco"
"Carlos y Jose","Flor de capomo"
"Carlos Y Jose","Flor De Capomo"
"Carlos Y Jose / Peligro","Cielo Azul, Cielo Nublado"
"Carlos, Roberto","A La Antigua"
"Carlos, Roberto","Amada Amante"
"Carlos, Roberto","Amiga"
"Carlos, Roberto","Amigo"
"Carlos, Roberto","Cama Y Mesa"
"Carlos, Roberto","Camionero"
"Carlos, Roberto","Carnavalito"
"Carlos, Roberto","Concavo Y Convexo"
"Carlos, Roberto","Desahogo"
"Carlos, Roberto","Detalles"
"Carlos, Roberto","El Amor Y La Moda"
"Carlos, Roberto","El Dia Que Me Quieras"
"Carlos, Roberto","El Progreso"
"Carlos, Roberto","La Distancia"
"Carlos, Roberto","La Paz De Tu Sonrisa"
"Carlos, Roberto","La Ventana"
"Carlos, Roberto","Los Botones"
"Carlos, Roberto","Mi Querido, Mi Viejo"
"Carlos, Roberto","Necesito Llamar Tu Atencion"
"Carlos, Roberto","No Te Apartes De Mi"
"Carlos, Roberto","Propuesta"
"Carlos, Roberto","Que Sera De Ti"
"Carlos, Roberto","Un Gato En La Obscuridad"
"Carlos, Roberto","Viviendo Por Vivir"
"Carnaval","Lo que pienso de ti"
"Carnaval","Olvidarte no sera sencillo"
"Carnaval","Olvidarte no sera sencillo"
"Carnes, Kim","Bette Davis Eyes"
"Carolina Liar","Drown"
"Carolina Liar","Drown (MPX)"
"Carr, Vicky","Total"
"Carr, Vikki","Ni Princesa Ni Esclava"
"Carrasco, Angela","No Me Puedo Quejar"
"Carrasco, Angela","Quererte A Ti"
"Carrasco, Angela","Quiereme"
"Cartel De N.L., El","Pajarillo"
"Castillo, Iran","Yo Por El"
"Castro, Christian","Amor Eterno"
"Castro, Christian","Lloran Las Rosas"
"Castro, Christian","Lloviendo Estrellas"
"Castro, Christian","No Podras"
"Castro, Christian","Sin Tu Amor"
"Castro, Cristian","Azul"
"Castro, Gualberto","Que Mal Amada Estas"
"Castro, Mercedes","Vengo A Verte"
"Celedon, Jorge","Ay!, Hombre"
"Celedon, Jorge","Ay!, Hombre (-1)"
"Celia Cruz","El Yerberito"
"Celia Cruz","La Vida Es Un Carnaval"
"Cepellin","Speedy Conzalez"
"Cepillin","En El Bosque De La China"
"Cepillin","Tomas"
"Ceratto, Ricardo","El Sol Nace Para Todos"
"Ceratto, Ricardo","Larga Distancia"
"Cesar Costa","Besos Por Telefono"
"Cesar Costa","mi pueblo"
"Chabelo","El Reino Del Reves"
"Chabelo","Garabato Colorado"
"Chabuca Granda","Fina Estampa"
"Chabuca Granda","La Flor De La Canela"
"Chalino Sanchez","Alma enamorada"
"Chalino Sanchez","Hermosisimo lucero"
"Chalino Sanchez","Juan Ayon"
"Chalino Sanchez","Nieves de enero"
"Chapo","Detras de la puerta"
"Chapo","Detras de la puerta"
"Chapo de Sinaloa","A Ti Si Puedo decirte"
"Chapo de Sinaloa","No me digas"
"Chapo de Sinaloa","No me digas"
"Chapo De Sinaloa, El","Detras De La Puerta"
"Chapo De Sinaloa, El","La Noche Perfecta"
"Chapo De Sinaloa, El","Para Que Regreses"
"Chapo De Sinaloa, El","Recostada En La Cama"
"Chapo De Sinaloa, El","Si Yo Fuera Ladron"
"Chapo De Sinaloa, El","Tu, Yo Y La Luna"
"Charlie Mars","How I Roll"
"Charlie Mars","How I Roll (MPX)"
"Charlie Mars","Let The Meter Run"
"Charlie Mars","Let The Meter Run (MPX)"
"Charm City Devils","Man Of Constant Sorrow"
"Charm City Devils","Man Of Constant Sorrow (MPX)"
"Chavez, Oscar","Macondo"
"Chavez, Oscar","Perdon"
"Chayanne","Contra Vientos Y Mareas"
"Chayanne","Cuidarte el alma"
"Chayanne","Enamorado"
"Chayanne","Enamorado"
"Chayanne","Fuiste Un Trozo De Hielo En La Escarcha"
"Chayanne","Lo Dejaria Todo"
"Chayanne","No Te Preocupes Por Mi"
"Chayanne","Sentada Aqui En Mi Alma"
"Chayanne","Si Nos Quedara Poco Tiempo"
"Chayanne","Te Echo De Menos"
"Chayanne","Un Siglo Sin Ti"
"Chayanne","Y tu te vas"
"Chayanne","Y tu te vas"
"Chayanne","Y Tu Te Vas"
"Chayanne","Yo Te Amo"
"Chelo","Dos Gotas De Agua"
"Chelo","La Lampara"
"Chelo","Las Cuentas Claras"
"Chelo","Mejor Me Voy"
"Chelo","Que Sacrificio"
"Cheneta Jones","Get There"
"Cheneta Jones","Get There (MPX)"
"Chet Faker","No Diggity"
"Chet Faker","No Diggity (MPX)"
"Chetes","Completamente"
"Chicanos, Los","Puente De Piedra"
"Chiches Vallenatos, Los","Entre El Cielo Y La Tierra"
"Chiches Vallenatos, Los","Entre El Cielo Y La Tierra (-1)"
"Childish Gambino","Bonfire"
"Childish Gambino","Bonfire (MPX)"
"Chilindrina","Es De Chocolate"
"Chiquitete","Esta Cobardia"
"Chiquitete","Esta Cobardia (-2)"
"Chirino, Willy","Rumbera"
"Chistian Castro","Nunca voy a olvidarte"
"Chocolate","Mayonesa"
"Chris Brown","Don't Judge Me"
"Chris Brown","Don't Judge Me (MPX)"
"Chris Brown","Turn Up The Music"
"Chris Brown","Turn Up The Music (MPX)"
"Chris Brown feat. Kevin McCall","Strip"
"Chris Brown feat. Kevin McCall","Strip (MPX)"
"Chris Walker","Everyday Woman"
"Chris Walker","Everyday Woman (MPX)"
"Christian Castro","Te llamé"
"Chukos","Silencio en la noche"
"Chukos, Los","Silencio En La Noche"
"Chuy Lizarraga","La peinada"
"Cigantes Del Vallenato, Los","No He Podido Ser Feliz"
"Cigantes Del Vallenato, Los","No He Podido Ser Feliz (-1)"
"Cirre, Ana","Casi Perfecto"
"Clan, Nikki","Ninas Mal"
"Clarkson, Kelly","Because Of You"
"Claudio Bermúdez","Ven junto a mi"
"Claxons, Los","Plan Perfecto"
"Climax","El Za Za Za ( Mesa Que Mas Aplauda )"
"Coda","Aun"
"Colbie Caillat","Shadow"
"Colbie Caillat","Shadow (MPX)"
"Cold War Kids","Minimum Day"
"Cold War Kids","Minimum Day (MPX)"
"Coldplay","Hurts Like Heaven"
"Coldplay","Hurts Like Heaven (MPX)"
"Coldplay & Rihanna","Princess of China"
"Coldplay & Rihanna","Princess of China (MPX)"
"Colmillo Norteño","Callejero y mujeriego"
"Colmillo Norteño","Callejero y mujeriego"
"Colombiano, Rayito","Muchachita Consentida"
"Colon, Willie","El Gran Varon"
"Colon, Willie","Gitana"
"Colon, Willie","Gitana (salsa)"
"Colon, Willie","Idilio"
"Colon, Willie","Te Estan Buscando"
"Common","Corner"
"Common","Testify"
"Complices Al Rescate","Amigos Por Siempre"
"Complices Al Rescate","El Baile Del Sapito"
"Conjunto Atardecer","Yo Te Ensene"
"Conjunto Oro","Cada vez que resuelles"
"Conjunto Oro","Cada Vez Que Resuelles"
"Conjunto Oro","La Decision"
"Conjunto Oro","Llore"
"Conjunto Oro","Quiero Que Me Abraces"
"Conjunto Oro","Un Cachito"
"Conjunto Oro","Vete a buscar a aquel"
"Conjunto Oro","Vete A Buscar Aquel"
"Conjunto Primavera","Necesito Decirte"
"Consentida, La","Pajarillo Barranqueno"
"Correa, Jorge","Carmelina"
"Cortez, Alberto","Castillos En El Aire"
"Cortez, Alberto","Gracius A La Vida"
"Costumbre","Como Olvidarte"
"Costumbre","Cuanto Te Amo"
"Costumbre","Cuanto te amo"
"Costumbre","Entregame"
"Costumbre","Esperare"
"Costumbre","Estar Enamorado"
"Costumbre","Fantasia"
"Costumbre","Que Importa"
"Costumbre","Quiero Decirte"
"Costumbre","Quiero Decirte"
"Costumbre","Se Repite La Historia"
"Costumbre","Se Repite La Historia"
"Costumbre","Solo Quedan"
"Costumbre","Y Ya Despues"
"Coti","Antes Que Ver El Sol"
"Coti","Nada De Esto Fue En Error"
"Coyote Y Su Banda","Corrido de Macario Leyva"
"Coyote Y Su Banda","Corrido de Macario Leyva"
"Cranberries, The","Tomorrow"
"Cranberries, The","Tomorrow (MPX)"
"Creedence","Bad moon rising"
"Creedence","Bad moon rising"
"Creedence","Cotton fields"
"Creedence","Cotton fields"
"Creedence","Down on the corner"
"Creedence","Down on the corner"
"Creedence","Down on the corner (con 2da. Voz)"
"Creedence","Down on the corner (con 2da. Voz)"
"Creedence","Fortunate son"
"Creedence","Fortunate son"
"Creedence","Green river"
"Creedence","Green river"
